trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
776,True,"{'a': 0.0, 'e': 0.0}",20,13,13.551990575137298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,True,"{'a': 0.0, 'e': 0.0}",20,8,21.005124626347502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,True,"{'a': 0.0, 'e': 0.0}",30,16,26.29522255336274,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,True,"{'a': 0.0, 'e': 0.0}",35,21,28.494371244240448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,True,"{'a': 0.0, 'e': 0.0}",25,13,20.490392521143168,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,True,"{'a': 0.0, 'e': 0.0}",30,16,27.649459788233017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,True,"{'a': 0.0, 'e': 0.0}",20,12,16.854097288780196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,True,"{'a': 0.0, 'e': 0.0}",30,15,24.653012609833393,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,True,"{'a': 0.0, 'e': 0.0}",30,17,23.206139942854307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,True,"{'a': 0.0, 'e': 0.0}",25,8,27.57800053448528,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,True,"{'a': 0.0, 'e': 0.0}",20,12,15.051883842755249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,True,"{'a': 0.0, 'e': 0.0}",20,11,16.75478267891365,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,True,"{'a': 0.0, 'e': 0.0}",25,16,16.871615726565302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,True,"{'a': 0.0, 'e': 0.0}",20,10,18.3674964161752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,True,"{'a': 0.0, 'e': 0.0}",30,16,27.848874313226094,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,True,"{'a': 0.0, 'e': 0.0}",20,3,34.82738288363478,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,True,"{'a': 0.0, 'e': 0.0}",25,14,21.504286434630792,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,True,"{'a': 0.0, 'e': 0.0}",20,10,16.23386702660374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,True,"{'a': 0.0, 'e': 0.0}",25,13,20.786238848726295,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,True,"{'a': 0.0, 'e': 0.0}",20,8,22.818611045101193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,True,"{'a': 0.0, 'e': 0.0}",20,13,12.527927613594889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,True,"{'a': 0.0, 'e': 0.0}",20,6,29.245852964252997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,True,"{'a': 0.0, 'e': 0.0}",25,9,31.173126494012223,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
799,True,"{'a': 0.0, 'e': 0.0}",20,11,17.31119173381083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,True,"{'a': 0.0, 'e': 0.0}",25,13,21.06370197279488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,True,"{'a': 0.0, 'e': 0.0}",35,21,25.342702864715886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,True,"{'a': 0.0, 'e': 0.0}",30,13,30.493480045348182,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,True,"{'a': 0.0, 'e': 0.0}",20,16,6.767246626688696,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
804,True,"{'a': 0.0, 'e': 0.0}",30,18,22.28912715370983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,True,"{'a': 0.0, 'e': 0.0}",25,8,25.557586305454834,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,True,"{'a': 0.0, 'e': 0.0}",20,16,7.784184255204426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,True,"{'a': 0.0, 'e': 0.0}",20,10,20.52059182329172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,True,"{'a': 0.0, 'e': 0.0}",20,10,17.963591985565657,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,True,"{'a': 0.0, 'e': 0.0}",20,12,15.761697936778237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,True,"{'a': 0.0, 'e': 0.0}",35,17,35.883097543894756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,True,"{'a': 0.0, 'e': 0.0}",20,14,12.126320446580188,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,True,"{'a': 0.0, 'e': 0.0}",30,18,22.66158713158269,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,True,"{'a': 0.0, 'e': 0.0}",20,6,26.841840538446828,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,True,"{'a': 0.0, 'e': 0.0}",25,17,16.081955659023247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,True,"{'a': 0.0, 'e': 0.0}",20,8,23.45986619468357,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,True,"{'a': 0.0, 'e': 0.0}",20,3,32.73740611328121,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,True,"{'a': 0.0, 'e': 0.0}",20,10,18.801286986072476,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,True,"{'a': 0.0, 'e': 0.0}",20,16,9.189618692851187,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,True,"{'a': 0.0, 'e': 0.0}",20,16,8.291185824804321,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,True,"{'a': 0.0, 'e': 0.0}",25,19,11.532690001015553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,True,"{'a': 0.0, 'e': 0.0}",30,24,10.360782852854507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,True,"{'a': 0.0, 'e': 0.0}",20,13,10.280196303259357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,True,"{'a': 0.0, 'e': 0.0}",20,14,10.802536072450604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,True,"{'a': 0.0, 'e': 0.0}",30,17,23.8139835236437,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,True,"{'a': 0.0, 'e': 0.0}",20,16,10.207655098841276,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,True,"{'a': 0.0, 'e': 0.0}",20,12,14.553611261151028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,True,"{'a': 0.0, 'e': 0.0}",20,12,16.40591520661487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,True,"{'a': 0.0, 'e': 0.0}",25,17,13.910166194391408,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,True,"{'a': 0.0, 'e': 0.0}",20,10,19.83759063469462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,True,"{'a': 0.0, 'e': 0.0}",35,13,36.10711072393824,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
831,True,"{'a': 0.0, 'e': 0.0}",20,9,16.95045473871018,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,True,"{'a': 0.0, 'e': 0.0}",20,12,12.395779373469143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,True,"{'a': 0.0, 'e': 0.0}",20,13,11.704605571761807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,True,"{'a': 0.0, 'e': 0.0}",25,10,28.531111478728818,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,True,"{'a': 0.0, 'e': 0.0}",30,19,20.16549967502266,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,True,"{'a': 0.0, 'e': 0.0}",20,14,10.665129405351266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,True,"{'a': 0.0, 'e': 0.0}",20,11,16.616033951083736,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,True,"{'a': 0.0, 'e': 0.0}",20,14,11.553191033219496,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,True,"{'a': 0.0, 'e': 0.0}",30,16,25.643470863019104,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,True,"{'a': 0.0, 'e': 0.0}",25,12,22.963020041652246,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
841,True,"{'a': 0.0, 'e': 0.0}",20,12,17.632610145494752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,True,"{'a': 0.0, 'e': 0.0}",20,15,8.49152216244055,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,True,"{'a': 0.0, 'e': 0.0}",20,6,24.214404188093717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,True,"{'a': 0.0, 'e': 0.0}",20,11,17.16089637305212,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,True,"{'a': 0.0, 'e': 0.0}",20,12,15.520607811734095,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,True,"{'a': 0.0, 'e': 0.0}",25,17,16.995162691164214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,True,"{'a': 0.0, 'e': 0.0}",20,13,11.84863180752241,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,True,"{'a': 0.0, 'e': 0.0}",30,21,16.96910824536689,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,True,"{'a': 0.0, 'e': 0.0}",25,11,27.38016329420091,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,True,"{'a': 0.0, 'e': 0.0}",20,8,20.61953473290946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,True,"{'a': 0.0, 'e': 0.0}",20,8,22.74210382596868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,True,"{'a': 0.0, 'e': 0.0}",20,12,14.79420506637087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,True,"{'a': 0.0, 'e': 0.0}",20,12,16.66634553187109,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,True,"{'a': 0.0, 'e': 0.0}",20,9,19.268197270165594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,True,"{'a': 0.0, 'e': 0.0}",20,11,17.499363632953322,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,True,"{'a': 0.0, 'e': 0.0}",20,6,28.980484303232306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,True,"{'a': 0.0, 'e': 0.0}",30,3,42.52582043145474,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,True,"{'a': 0.0, 'e': 0.0}",30,24,12.075428255191234,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,True,"{'a': 0.0, 'e': 0.0}",35,15,39.9876176923349,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
860,True,"{'a': 0.0, 'e': 0.0}",25,13,22.748875794437545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,True,"{'a': 0.0, 'e': 0.0}",20,9,23.2849038269281,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,True,"{'a': 0.0, 'e': 0.0}",30,21,17.775958238868316,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,True,"{'a': 0.0, 'e': 0.0}",25,8,33.21319371986811,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,True,"{'a': 0.0, 'e': 0.0}",20,11,16.41288076854897,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
865,True,"{'a': 0.0, 'e': 0.0}",20,5,25.126513553535293,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,True,"{'a': 0.0, 'e': 0.0}",25,14,17.31795738766329,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
867,True,"{'a': 0.0, 'e': 0.0}",20,6,26.83833901605605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,True,"{'a': 0.0, 'e': 0.0}",30,18,20.535852674624824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
869,True,"{'a': 0.0, 'e': 0.0}",25,13,24.20514598440294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,True,"{'a': 0.0, 'e': 0.0}",25,17,13.155067460765451,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,True,"{'a': 0.0, 'e': 0.0}",25,17,16.52583495297211,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
872,True,"{'a': 0.0, 'e': 0.0}",20,11,15.827063643124857,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
